# class_id, name, coco_id, area, percent, weight
  0, background      ,   0,    22296563266, 0.68313,         1.00
  1, person          ,   1,     2933601749, 0.08988,         7.60
  2, dining table    ,  67,     1094229109, 0.03353,        20.38
  3, bed             ,  65,      324229099, 0.00993,        68.77
  4, pizza           ,  59,      268122183, 0.00821,        83.16
  5, bowl            ,  51,      244206708, 0.00748,        91.30
  6, bus             ,   6,      244068713, 0.00748,        91.35
  7, train           ,   7,      240996783, 0.00738,        92.52
  8, chair           ,  62,      218771801, 0.00670,       101.92
  9, car             ,   3,      203347135, 0.00623,       109.65
 10, cat             ,  17,      202525158, 0.00621,       110.09
 11, truck           ,   8,      200669001, 0.00615,       111.11
 12, couch           ,  63,      193433944, 0.00593,       115.27
 13, motorcycle      ,   4,      156539748, 0.00480,       142.43
 14, elephant        ,  22,      151869318, 0.00465,       146.81
 15, dog             ,  18,      148706103, 0.00456,       149.94
 16, cake            ,  61,      133585946, 0.00409,       166.91
 17, laptop          ,  73,      122931931, 0.00377,       181.37
 18, refrigerator    ,  82,      121545770, 0.00372,       183.44
 19, sandwich        ,  54,      120926806, 0.00370,       184.38
 20, oven            ,  79,      115375814, 0.00353,       193.25
 21, bench           ,  15,      113943261, 0.00349,       195.68
 22, horse           ,  19,      113144168, 0.00347,       197.06
 23, tv              ,  72,      111510166, 0.00342,       199.95
 24, teddy bear      ,  88,      105008149, 0.00322,       212.33
 25, suitcase        ,  33,      104047834, 0.00319,       214.29
 26, airplane        ,   5,      103619745, 0.00317,       215.18
 27, zebra           ,  24,      103051000, 0.00316,       216.36
 28, giraffe         ,  25,      102682558, 0.00315,       217.14
 29, toilet          ,  70,       99467138, 0.00305,       224.16
 30, umbrella        ,  28,       97112345, 0.00298,       229.60
 31, cup             ,  47,       95519488, 0.00293,       233.42
 32, boat            ,   9,       88149341, 0.00270,       252.94
 33, banana          ,  52,       86555840, 0.00265,       257.60
 34, cow             ,  21,       85250769, 0.00261,       261.54
 35, potted plant    ,  64,       80225959, 0.00246,       277.92
 36, book            ,  84,       76422889, 0.00234,       291.75
 37, donut           ,  60,       69027957, 0.00211,       323.01
 38, broccoli        ,  56,       68400157, 0.00210,       325.97
 39, sheep           ,  20,       65035712, 0.00199,       342.84
 40, bottle          ,  44,       63948908, 0.00196,       348.66
 41, bear            ,  23,       57389089, 0.00176,       388.52
 42, vase            ,  86,       57038114, 0.00175,       390.91
 43, sink            ,  81,       55521187, 0.00170,       401.59
 44, bird            ,  16,       54046816, 0.00166,       412.54
 45, bicycle         ,   2,       52736683, 0.00162,       422.79
 46, orange          ,  55,       50172186, 0.00154,       444.40
 47, hot dog         ,  58,       48145316, 0.00148,       463.11
 48, keyboard        ,  76,       45175895, 0.00138,       493.55
 49, clock           ,  85,       41396334, 0.00127,       538.61
 50, apple           ,  53,       39780817, 0.00122,       560.49
 51, surfboard       ,  42,       38093551, 0.00117,       585.31
 52, handbag         ,  31,       36236505, 0.00111,       615.31
 53, stop sign       ,  13,       35007227, 0.00107,       636.91
 54, fire hydrant    ,  11,       35002323, 0.00107,       637.00
 55, cell phone      ,  77,       34919179, 0.00107,       638.52
 56, backpack        ,  27,       33403098, 0.00102,       667.50
 57, wine glass      ,  46,       33245197, 0.00102,       670.67
 58, microwave       ,  78,       29896113, 0.00092,       745.80
 59, carrot          ,  57,       28889699, 0.00089,       771.78
 60, tie             ,  32,       26013301, 0.00080,       857.12
 61, kite            ,  38,       23516553, 0.00072,       948.12
 62, parking meter   ,  14,       21881963, 0.00067,      1018.95
 63, traffic light   ,  10,       21735955, 0.00067,      1025.79
 64, skateboard      ,  41,       20008744, 0.00061,      1114.34
 65, tennis racket   ,  43,       18910005, 0.00058,      1179.09
 66, remote          ,  75,       18273233, 0.00056,      1220.18
 67, knife           ,  49,       15740324, 0.00048,      1416.53
 68, fork            ,  48,       11924420, 0.00037,      1869.82
 69, snowboard       ,  36,       11674971, 0.00036,      1909.77
 70, scissors        ,  87,       11556308, 0.00035,      1929.38
 71, spoon           ,  50,       10549255, 0.00032,      2113.57
 72, frisbee         ,  34,        9998245, 0.00031,      2230.05
 73, skis            ,  35,        9930879, 0.00030,      2245.18
 74, mouse           ,  74,        7221988, 0.00022,      3087.32
 75, baseball glove  ,  40,        6499080, 0.00020,      3430.73
 76, toothbrush      ,  90,        5992441, 0.00018,      3720.78
 77, sports ball     ,  37,        5164143, 0.00016,      4317.57
 78, baseball bat    ,  39,        4718549, 0.00014,      4725.30
 79, toaster         ,  80,        1973897, 0.00006,     11295.71
 80, hair drier      ,  89,        1067130, 0.00003,     20893.95
